truncating existing tables...
writing ground truth to data\ground_truth.json...
loading 500 titles...
loading 20000 subscribers...
loading 3 change_log rows...
generating and loading playback_events (days=56, sessions_per_day=100000)...
playback_events: batch 98 done, 4900000 rows so far, 43.8s elapsed
playback_events: batch 99 done, 4950000 rows so far, 44.3s elapsed
playback_events: batch 100 done, 5000000 rows so far, 44.8s elapsed
playback_events: batch 101 done, 5050000 rows so far, 45.3s elapsed
playback_events: batch 102 done, 5100000 rows so far, 45.7s elapsed
playback_events: batch 103 done, 5150000 rows so far, 46.2s elapsed
playback_events: batch 104 done, 5200000 rows so far, 46.8s elapsed
playback_events: batch 105 done, 5250000 rows so far, 47.2s elapsed
playback_events: batch 106 done, 5300000 rows so far, 47.7s elapsed
playback_events: batch 107 done, 5350000 rows so far, 48.2s elapsed
playback_events: batch 108 done, 5400000 rows so far, 48.6s elapsed
playback_events: batch 109 done, 5450000 rows so far, 49.1s elapsed
playback_events: batch 110 done, 5500000 rows so far, 49.6s elapsed
playback_events: batch 111 done, 5550000 rows so far, 50.0s elapsed
playback_events: batch 112 done, 5600000 rows so far, 50.4s elapsed
playback_events: batch 113 done, 5650000 rows so far, 50.8s elapsed
playback_events: batch 114 done, 5700000 rows so far, 51.2s elapsed
playback_events: batch 115 done, 5750000 rows so far, 51.8s elapsed
playback_events: batch 116 done, 5800000 rows so far, 52.3s elapsed
playback_events: batch 117 done, 5850000 rows so far, 52.8s elapsed
playback_events: batch 118 done, 5900000 rows so far, 53.3s elapsed
playback_events: batch 119 done, 5950000 rows so far, 53.8s elapsed
playback_events: batch 120 done, 6000000 rows so far, 54.3s elapsed
playback_events: batch 121 done, 6050000 rows so far, 54.8s elapsed
playback_events: batch 122 done, 6100000 rows so far, 55.3s elapsed
playback_events: batch 123 done, 6150000 rows so far, 55.9s elapsed
playback_events: batch 124 done, 6200000 rows so far, 56.4s elapsed
playback_events: batch 125 done, 6250000 rows so far, 57.0s elapsed
playback_events: batch 126 done, 6300000 rows so far, 57.6s elapsed
playback_events: batch 127 done, 6350000 rows so far, 58.2s elapsed
playback_events: batch 128 done, 6400000 rows so far, 58.7s elapsed
playback_events: batch 129 done, 6450000 rows so far, 59.3s elapsed
playback_events: batch 130 done, 6500000 rows so far, 59.9s elapsed
playback_events: batch 131 done, 6550000 rows so far, 60.5s elapsed
playback_events: batch 132 done, 6600000 rows so far, 61.1s elapsed
playback_events: batch 133 done, 6650000 rows so far, 61.7s elapsed
playback_events: batch 134 done, 6700000 rows so far, 62.2s elapsed
playback_events: batch 135 done, 6750000 rows so far, 62.8s elapsed
playback_events: batch 136 done, 6800000 rows so far, 63.6s elapsed
playback_events: batch 137 done, 6850000 rows so far, 64.1s elapsed
playback_events: batch 138 done, 6900000 rows so far, 64.6s elapsed
playback_events: batch 139 done, 6950000 rows so far, 65.2s elapsed
playback_events: batch 140 done, 7000000 rows so far, 66.0s elapsed
playback_events: batch 141 done, 7050000 rows so far, 66.8s elapsed
playback_events: batch 142 done, 7100000 rows so far, 67.5s elapsed
playback_events: batch 143 done, 7150000 rows so far, 68.1s elapsed
playback_events: batch 144 done, 7200000 rows so far, 68.6s elapsed
playback_events: batch 145 done, 7250000 rows so far, 69.2s elapsed
playback_events: batch 146 done, 7300000 rows so far, 69.8s elapsed
playback_events: batch 147 done, 7350000 rows so far, 70.5s elapsed
playback_events: batch 148 done, 7400000 rows so far, 71.0s elapsed
playback_events: batch 149 done, 7450000 rows so far, 71.6s elapsed
playback_events: batch 150 done, 7500000 rows so far, 72.1s elapsed
playback_events: batch 151 done, 7550000 rows so far, 72.6s elapsed
playback_events: batch 152 done, 7600000 rows so far, 73.2s elapsed
playback_events: batch 153 done, 7650000 rows so far, 73.7s elapsed
playback_events: batch 154 done, 7700000 rows so far, 74.3s elapsed
playback_events: batch 155 done, 7750000 rows so far, 74.8s elapsed
playback_events: batch 156 done, 7800000 rows so far, 75.3s elapsed
playback_events: batch 157 done, 7850000 rows so far, 75.9s elapsed
playback_events: batch 158 done, 7900000 rows so far, 76.4s elapsed
playback_events: batch 159 done, 7950000 rows so far, 76.9s elapsed
playback_events: batch 160 done, 8000000 rows so far, 77.4s elapsed
playback_events: batch 161 done, 8050000 rows so far, 78.0s elapsed
playback_events: batch 162 done, 8100000 rows so far, 78.7s elapsed
playback_events: batch 163 done, 8150000 rows so far, 79.5s elapsed
playback_events: batch 164 done, 8200000 rows so far, 80.4s elapsed
playback_events: batch 165 done, 8250000 rows so far, 81.0s elapsed
playback_events: batch 166 done, 8300000 rows so far, 81.5s elapsed
playback_events: batch 167 done, 8350000 rows so far, 82.1s elapsed
playback_events: batch 168 done, 8400000 rows so far, 82.7s elapsed
playback_events: batch 169 done, 8450000 rows so far, 83.3s elapsed
playback_events: batch 170 done, 8500000 rows so far, 83.9s elapsed
playback_events: batch 171 done, 8550000 rows so far, 84.4s elapsed
playback_events: batch 172 done, 8600000 rows so far, 85.0s elapsed
playback_events: batch 173 done, 8650000 rows so far, 85.6s elapsed
playback_events: batch 174 done, 8700000 rows so far, 86.1s elapsed
playback_events: batch 175 done, 8750000 rows so far, 86.8s elapsed
playback_events: batch 176 done, 8800000 rows so far, 87.3s elapsed
playback_events: batch 177 done, 8850000 rows so far, 87.9s elapsed
playback_events: batch 178 done, 8900000 rows so far, 88.4s elapsed
playback_events: batch 179 done, 8950000 rows so far, 89.0s elapsed
playback_events: batch 180 done, 9000000 rows so far, 89.5s elapsed
playback_events: batch 181 done, 9050000 rows so far, 90.1s elapsed
playback_events: batch 182 done, 9100000 rows so far, 90.7s elapsed
playback_events: batch 183 done, 9150000 rows so far, 91.4s elapsed
playback_events: batch 184 done, 9200000 rows so far, 92.1s elapsed
playback_events: batch 185 done, 9250000 rows so far, 92.7s elapsed
playback_events: batch 186 done, 9300000 rows so far, 93.4s elapsed
playback_events: batch 187 done, 9350000 rows so far, 94.2s elapsed
playback_events: batch 188 done, 9400000 rows so far, 94.9s elapsed
playback_events: batch 189 done, 9450000 rows so far, 95.4s elapsed
playback_events: batch 190 done, 9500000 rows so far, 96.0s elapsed
playback_events: batch 191 done, 9550000 rows so far, 96.7s elapsed
playback_events: batch 192 done, 9600000 rows so far, 97.2s elapsed
playback_events: batch 193 done, 9650000 rows so far, 98.2s elapsed
playback_events: batch 194 done, 9700000 rows so far, 98.9s elapsed
playback_events: batch 195 done, 9750000 rows so far, 99.6s elapsed
playback_events: batch 196 done, 9800000 rows so far, 100.1s elapsed
playback_events: batch 197 done, 9850000 rows so far, 100.7s elapsed
playback_events: batch 198 done, 9900000 rows so far, 101.3s elapsed
playback_events: batch 199 done, 9950000 rows so far, 101.9s elapsed
playback_events: batch 200 done, 10000000 rows so far, 102.5s elapsed
playback_events: batch 201 done, 10050000 rows so far, 103.0s elapsed
playback_events: batch 202 done, 10100000 rows so far, 103.6s elapsed
playback_events: batch 203 done, 10150000 rows so far, 104.2s elapsed
playback_events: batch 204 done, 10200000 rows so far, 104.8s elapsed
playback_events: batch 205 done, 10250000 rows so far, 105.4s elapsed
playback_events: batch 206 done, 10300000 rows so far, 105.9s elapsed
playback_events: batch 207 done, 10350000 rows so far, 106.5s elapsed
playback_events: batch 208 done, 10400000 rows so far, 107.3s elapsed
playback_events: batch 209 done, 10450000 rows so far, 108.2s elapsed
playback_events: batch 210 done, 10500000 rows so far, 109.5s elapsed
playback_events: batch 211 done, 10550000 rows so far, 110.2s elapsed
playback_events: batch 212 done, 10600000 rows so far, 111.1s elapsed
playback_events: batch 213 done, 10650000 rows so far, 112.3s elapsed
playback_events: batch 214 done, 10700000 rows so far, 113.0s elapsed
playback_events: batch 215 done, 10750000 rows so far, 113.6s elapsed
playback_events: batch 216 done, 10800000 rows so far, 114.2s elapsed
playback_events: batch 217 done, 10850000 rows so far, 114.8s elapsed
playback_events: batch 218 done, 10900000 rows so far, 115.3s elapsed
playback_events: batch 219 done, 10950000 rows so far, 115.8s elapsed
playback_events: batch 220 done, 11000000 rows so far, 116.4s elapsed
playback_events: batch 221 done, 11050000 rows so far, 116.9s elapsed
playback_events: batch 222 done, 11100000 rows so far, 117.5s elapsed
playback_events: batch 223 done, 11150000 rows so far, 118.0s elapsed
playback_events: batch 224 done, 11200000 rows so far, 118.6s elapsed
playback_events: batch 225 done, 11250000 rows so far, 119.2s elapsed
playback_events: batch 226 done, 11300000 rows so far, 119.7s elapsed
playback_events: batch 227 done, 11350000 rows so far, 120.3s elapsed
playback_events: batch 228 done, 11400000 rows so far, 120.8s elapsed
playback_events: batch 229 done, 11450000 rows so far, 121.4s elapsed
playback_events: batch 230 done, 11500000 rows so far, 122.0s elapsed
playback_events: batch 231 done, 11550000 rows so far, 122.8s elapsed
playback_events: batch 232 done, 11600000 rows so far, 123.7s elapsed
playback_events: batch 233 done, 11650000 rows so far, 124.2s elapsed
playback_events: batch 234 done, 11700000 rows so far, 124.7s elapsed
playback_events: batch 235 done, 11750000 rows so far, 125.2s elapsed
playback_events: batch 236 done, 11800000 rows so far, 125.8s elapsed
playback_events: batch 237 done, 11850000 rows so far, 126.4s elapsed
playback_events: batch 238 done, 11900000 rows so far, 127.0s elapsed
playback_events: batch 239 done, 11950000 rows so far, 127.5s elapsed
playback_events: batch 240 done, 12000000 rows so far, 128.2s elapsed
playback_events: batch 241 done, 12050000 rows so far, 128.8s elapsed
playback_events: batch 242 done, 12100000 rows so far, 129.3s elapsed
playback_events: batch 243 done, 12150000 rows so far, 130.0s elapsed
playback_events: batch 244 done, 12200000 rows so far, 130.5s elapsed
playback_events: batch 245 done, 12250000 rows so far, 131.1s elapsed
playback_events: batch 246 done, 12300000 rows so far, 131.6s elapsed
playback_events: batch 247 done, 12350000 rows so far, 132.3s elapsed
playback_events: batch 248 done, 12400000 rows so far, 132.9s elapsed
playback_events: batch 249 done, 12450000 rows so far, 133.5s elapsed
playback_events: batch 250 done, 12500000 rows so far, 134.0s elapsed
playback_events: batch 251 done, 12550000 rows so far, 134.6s elapsed
playback_events: batch 252 done, 12600000 rows so far, 135.4s elapsed
playback_events: batch 253 done, 12650000 rows so far, 136.0s elapsed
playback_events: batch 254 done, 12700000 rows so far, 136.5s elapsed
playback_events: batch 255 done, 12750000 rows so far, 137.0s elapsed
playback_events: batch 256 done, 12800000 rows so far, 137.6s elapsed
playback_events: batch 257 done, 12850000 rows so far, 138.3s elapsed
playback_events: batch 258 done, 12900000 rows so far, 139.0s elapsed
